species,genus,sc_mean,sc_std,sc_p10,sc_p50,sc_p90,ch0_mean,ch0_std,ch1_mean,ch1_std,ch2_mean,ch2_std,ch3_mean,ch3_std,ch4_mean,ch4_std,ch5_mean,ch5_std,ch6_mean,ch6_std,ch7_mean,ch7_std,ch8_mean,ch8_std,ch9_mean,ch9_std,ch10_mean,ch10_std,ch11_mean,ch11_std
vanellus,Vanellus,3910.6370093004493,1102.3092126338508,2841.036126123612,3713.730757415026,5686.991746097963,0.4397001266479492,0.34013646841049194,0.43471062183380127,0.26141998171806335,0.40053921937942505,0.27532583475112915,0.4247114062309265,0.331778883934021,0.3700938820838928,0.26050233840942383,0.31642574071884155,0.2293674200773239,0.3453162908554077,0.3072197735309601,0.29607218503952026,0.3214530050754547,0.32908380031585693,0.35485488176345825,0.2712494134902954,0.27151820063591003,0.2402936816215515,0.256498783826828,0.42217451333999634,0.41425904631614685
vanellus,Vanellus,3896.992782542676,362.2386438978272,3484.7471584341297,3920.0211036911423,4294.73371605204,0.39910775423049927,0.45372703671455383,0.2460474669933319,0.28214165568351746,0.08950932323932648,0.16305485367774963,0.0733625739812851,0.11123520135879517,0.12326754629611969,0.08496124297380447,0.40045711398124695,0.20193783938884735,0.16876903176307678,0.1079668253660202,0.07564187049865723,0.10624982416629791,0.08993712067604065,0.10554400831460953,0.2123492807149887,0.11537951976060867,0.8185815215110779,0.27459418773651123,0.38057607412338257,0.21192201972007751
vanellus,Vanellus,4335.869744642702,376.4628176237413,4001.534700442358,4263.578307891445,4851.812123787288,0.09384121000766754,0.1213839128613472,0.15245260298252106,0.17436687648296356,0.35809484124183655,0.3914361298084259,0.4462663531303406,0.357654869556427,0.49935299158096313,0.2482624053955078,0.367951899766922,0.32854875922203064,0.20003241300582886,0.2183889001607895,0.27270472049713135,0.28862860798835754,0.46069222688674927,0.30971747636795044,0.6826521754264832,0.3192247450351715,0.4298284947872162,0.38663187623023987,0.15366937220096588,0.269643098115921
vanellus,Vanellus,4106.612208832418,362.7953032104156,3616.1424641026006,4165.036981225418,4612.8108640589935,0.3316846191883087,0.37569373846054077,0.2707861661911011,0.30097562074661255,0.278707355260849,0.29677438735961914,0.2728138566017151,0.28846850991249084,0.3611075282096863,0.32356563210487366,0.3321973383426666,0.23748135566711426,0.18434152007102966,0.15999461710453033,0.247398242354393,0.24582165479660034,0.39094415307044983,0.31761786341667175,0.5929346680641174,0.30136838555336,0.6362044811248779,0.3198891580104828,0.40774932503700256,0.3923177719116211
vanellus,Vanellus,4089.5037727770386,652.2904642905945,3351.162388320053,4458.903700349536,4774.481535084831,0.17291603982448578,0.30252763628959656,0.10798900574445724,0.18156380951404572,0.09521345794200897,0.13739438354969025,0.23436211049556732,0.3534344434738159,0.5878536701202393,0.2603491544723511,0.6007601022720337,0.3802066445350647,0.12662766873836517,0.22628973424434662,0.12139703333377838,0.2360074818134308,0.13590292632579803,0.14040318131446838,0.7245674133300781,0.25738978385925293,0.575434684753418,0.31767284870147705,0.19190479815006256,0.26078465580940247
vanellus,Vanellus,3670.1457994833017,365.8369862843899,3223.0745680474292,3611.093834675302,4191.807734950664,0.07433398067951202,0.155673548579216,0.08375699073076248,0.17277611792087555,0.13186059892177582,0.2730874717235565,0.16126665472984314,0.29575932025909424,0.1744452267885208,0.20861008763313293,0.16893814504146576,0.1320367455482483,0.053904179483652115,0.06070970743894577,0.08053538203239441,0.09537014365196228,0.2715447247028351,0.3026939332485199,0.6456234455108643,0.2721138298511505,0.7862641215324402,0.30324435234069824,0.10627204924821854,0.10555969923734665
vanellus,Vanellus,3988.3068772792126,402.7730469662538,3506.546217131962,3964.773586478608,4431.298470346416,0.26503655314445496,0.36703556776046753,0.28338873386383057,0.40411657094955444,0.2619931995868683,0.3552057445049286,0.1661098152399063,0.27451562881469727,0.19977536797523499,0.3183095157146454,0.4328390955924988,0.30519968271255493,0.17538036406040192,0.15891680121421814,0.15768711268901825,0.2393934726715088,0.11308472603559494,0.14055238664150238,0.11435716599225998,0.08876974135637283,0.5677065849304199,0.4409739375114441,0.27120864391326904,0.18936499953269958
vanellus,Vanellus,4144.433859575735,562.6487495277376,3526.5271373475243,3862.5656428591456,4957.647404702688,0.24629399180412292,0.17628113925457,0.2982674539089203,0.16002388298511505,0.5593763589859009,0.3163931965827942,0.5284774303436279,0.33432644605636597,0.3688894510269165,0.26158419251441956,0.43748047947883606,0.3547740578651428,0.25895464420318604,0.17056019604206085,0.3706713318824768,0.25121843814849854,0.37180498242378235,0.2838689684867859,0.18130797147750854,0.12874650955200195,0.417600154876709,0.37576615810394287,0.398215115070343,0.32121169567108154
vanellus,Vanellus,4323.2072583181725,504.80308973331415,3760.5116025195452,4428.856439930398,4838.987295221347,0.23434369266033173,0.31250542402267456,0.14627757668495178,0.2639600336551666,0.2703244090080261,0.2755247950553894,0.40301844477653503,0.3069775700569153,0.24702055752277374,0.21970568597316742,0.12440138310194016,0.13158497214317322,0.18176309764385223,0.22938360273838043,0.23318497836589813,0.28126561641693115,0.34998229146003723,0.38901060819625854,0.4089244604110718,0.40999075770378113,0.3833271563053131,0.3938766419887543,0.40405556559562683,0.40640076994895935
vanellus,Vanellus,3747.4294019336744,573.9235210789213,3004.7491232627117,4054.7246478350708,4417.251981806336,0.3688846230506897,0.31883326172828674,0.23945419490337372,0.2145085334777832,0.15420278906822205,0.19987168908119202,0.23776720464229584,0.28836825489997864,0.3530997037887573,0.37721964716911316,0.5011367797851562,0.4138484299182892,0.44042256474494934,0.35687994956970215,0.364370197057724,0.3959234952926636,0.23319244384765625,0.3434893786907196,0.18588010966777802,0.2723481059074402,0.26799896359443665,0.3339942991733551,0.27564042806625366,0.2874137759208679
